time,AX,AY,AZ,GX,GY,GZ
87.833119,-5604.000000,-12980.000000,10368.000000,874.000000,-3762.000000,1180.000000
88.037935,-5664.000000,-13792.000000,10812.000000,-10048.000000,-16660.000000,-494.000000
88.226912,840.000000,-12828.000000,6708.000000,-21507.000000,-21664.000000,-11466.000000
88.447017,7972.000000,-10028.000000,416.000000,-19211.000000,-329.000000,-3772.000000
88.620249,7044.000000,-6316.000000,-7540.000000,-11712.000000,-7931.000000,1555.000000
88.839119,-3340.000000,-13796.000000,-15996.000000,-9073.000000,-12423.000000,6067.000000
89.014430,-3672.000000,-5400.000000,-9892.000000,-16128.000000,-1873.000000,3420.000000
89.233216,-2672.000000,-260.000000,-12156.000000,-5183.000000,-3056.000000,2173.000000
89.456222,-4316.000000,-1740.000000,-12768.000000,-3841.000000,-3660.000000,781.000000
89.626691,-3888.000000,-152.000000,-11900.000000,-2300.000000,-1903.000000,-2435.000000
89.860367,-4892.000000,-1080.000000,-15192.000000,-1179.000000,-233.000000,-634.000000
90.021308,-4836.000000,-328.000000,-15792.000000,-3072.000000,523.000000,-431.000000
90.249351,-4728.000000,-1288.000000,-13744.000000,-55.000000,412.000000,-172.000000
90.503084,-4576.000000,-872.000000,-12924.000000,163.000000,-400.000000,274.000000
90.633360,-4436.000000,20.000000,-13128.000000,-499.000000,-296.000000,471.000000
90.859370,-5424.000000,-248.000000,-14500.000000,-2210.000000,849.000000,1043.000000
91.070439,-4960.000000,4016.000000,-24208.000000,25917.000000,32767.000000,1999.000000
91.254167,2992.000000,-4772.000000,4276.000000,18563.000000,32767.000000,25184.000000
91.464136,-2012.000000,-17276.000000,11960.000000,15875.000000,8631.000000,8306.000000
91.639083,-2664.000000,-10812.000000,11948.000000,-1376.000000,2307.000000,-1461.000000
91.857523,-1328.000000,-11324.000000,14960.000000,-1005.000000,-5597.000000,1158.000000
92.080793,-1260.000000,-11612.000000,13492.000000,-769.000000,754.000000,67.000000
92.251757,-1964.000000,-11644.000000,12136.000000,525.000000,-793.000000,413.000000
92.470300,-1680.000000,-11728.000000,13236.000000,-551.000000,479.000000,-295.000000
92.696113,-1944.000000,-11016.000000,12332.000000,-996.000000,1144.000000,-202.000000
92.864731,-1008.000000,-10936.000000,13656.000000,204.000000,-469.000000,-167.000000
93.082810,-1044.000000,-9876.000000,14808.000000,-981.000000,1917.000000,-264.000000
93.257927,-1644.000000,-10692.000000,14644.000000,392.000000,1157.000000,42.000000
93.478746,-2000.000000,-11392.000000,11672.000000,-355.000000,824.000000,-755.000000
93.698693,-2040.000000,-11836.000000,12472.000000,-1091.000000,-1877.000000,320.000000
93.870390,-400.000000,-8108.000000,14836.000000,248.000000,-8521.000000,3800.000000
94.089678,1980.000000,256.000000,20840.000000,-15380.000000,-2637.000000,6331.000000
94.264277,1428.000000,-9948.000000,9112.000000,-27306.000000,-11796.000000,-2746.000000
94.487590,568.000000,-14616.000000,-3240.000000,-15334.000000,-16434.000000,3658.000000
94.710677,-5324.000000,-8460.000000,-10852.000000,-16625.000000,-14113.000000,-2818.000000
94.878567,-7472.000000,-6204.000000,-12408.000000,-9100.000000,-4668.000000,3481.000000
95.104142,-6924.000000,-4752.000000,-13324.000000,-1245.000000,-2263.000000,-542.000000
95.343276,-6796.000000,-5000.000000,-12232.000000,-698.000000,-1745.000000,-171.000000
95.489073,-6960.000000,-5640.000000,-12508.000000,-284.000000,-1764.000000,-606.000000
95.714595,-6664.000000,-5724.000000,-11204.000000,-452.000000,214.000000,239.000000
95.884428,-6892.000000,-5116.000000,-12700.000000,-524.000000,708.000000,162.000000
96.103387,-6812.000000,-5040.000000,-12296.000000,-548.000000,-699.000000,-278.000000
96.333395,-6896.000000,-5212.000000,-12480.000000,-487.000000,-349.000000,266.000000
96.503515,-6708.000000,-4904.000000,-11456.000000,-488.000000,4.000000,-154.000000
96.733442,-6744.000000,-4708.000000,-12500.000000,-548.000000,-92.000000,310.000000
96.890890,-7048.000000,-4464.000000,-12956.000000,-406.000000,-265.000000,-111.000000
97.115833,-6764.000000,-4936.000000,-12100.000000,-364.000000,120.000000,136.000000
97.326991,-7116.000000,-5076.000000,-12272.000000,-391.000000,-32.000000,-113.000000
97.504066,-6924.000000,-4620.000000,-12244.000000,-452.000000,623.000000,118.000000
97.726830,-6844.000000,-4812.000000,-12436.000000,-426.000000,566.000000,455.000000
97.939245,-7084.000000,-4676.000000,-12768.000000,405.000000,-4.000000,-171.000000
98.126812,-6244.000000,-4276.000000,-12304.000000,-1304.000000,-259.000000,143.000000
98.342641,-6732.000000,-4692.000000,-12352.000000,-420.000000,-73.000000,-315.000000
98.507694,-16552.000000,-5952.000000,-32768.000000,32767.000000,-6647.000000,-15049.000000
98.734156,1204.000000,-5012.000000,24788.000000,32767.000000,-17325.000000,20653.000000
98.945367,-2084.000000,-9176.000000,17004.000000,7711.000000,3123.000000,-5289.000000
99.121549,-1060.000000,-5388.000000,17564.000000,-3405.000000,3066.000000,-984.000000
99.348542,-936.000000,-4344.000000,19972.000000,-1556.000000,2344.000000,65.000000
99.514876,-1660.000000,-5672.000000,17044.000000,-179.000000,830.000000,-535.000000
99.740355,-2208.000000,-6652.000000,15884.000000,-787.000000,-212.000000,-71.000000
99.967749,-2416.000000,-7420.000000,15764.000000,-91.000000,-518.000000,303.000000
100.127383,-1748.000000,-5372.000000,17120.000000,-1075.000000,824.000000,-384.000000
100.377761,-1992.000000,-5548.000000,15988.000000,368.000000,-2.000000,-870.000000
100.564117,-2232.000000,-5620.000000,16620.000000,146.000000,-479.000000,295.000000
100.739642,-2220.000000,-5980.000000,16876.000000,1549.000000,158.000000,-80.000000
